roi_id,type,lat,lon,ELEV_mean_0,ELEV_stddev_0,ELEV_min_0,ELEV_max_0,LCT_mean_0,LCT_stddev_0,LCT_min_0,LCT_max_0,NDVI_mean_0,NDVI_stddev_0,NDVI_min_0,NDVI_max_0,WATERBODY_count_0,WATERBODY_mean_0,WATERBODY_stddev_0,WATERBODY_min_0,WATERBODY_max_0,CAPE0_mean_4,CAPE0_stddev_4,CAPE0_min_4,CAPE0_max_4,CAPE1_mean_4,CAPE1_stddev_4,CAPE1_min_4,CAPE1_max_4,CAPE2_mean_4,CAPE2_stddev_4,CAPE2_min_4,CAPE2_max_4,CAPE3_mean_4,CAPE3_stddev_4,CAPE3_min_4,CAPE3_max_4,HTFL_RH_mean_4,HTFL_RH_stddev_4,HTFL_RH_min_4,HTFL_RH_max_4,SMOIS0_mean_4,SMOIS0_stddev_4,SMOIS0_min_4,SMOIS0_max_4,TCUM_CLOUD_count_4,TCUM_CLOUD_mean_4,TCUM_CLOUD_stddev_4,TCUM_CLOUD_min_4,TCUM_CLOUD_max_4,TSOIL0_mean_4,TSOIL0_stddev_4,TSOIL0_min_4,TSOIL0_max_4,UGRD_mean_4,UGRD_stddev_4,UGRD_min_4,UGRD_max_4,VGRD_mean_4,VGRD_stddev_4,VGRD_min_4,VGRD_max_4,WINDCONV_mean_4,WINDCONV_stddev_4,WINDCONV_min_4,WINDCONV_max_4
e4e50f47-dcd5-4076-9e1d-948f60ed91b8,1,34.144083,-87.997864,176.308343,36.457357,104.0,280.0,6.317352,1.925812,4.0,13.0,8480.644426,755.937199,1909.0,9897.0,0,0.0,0.0,0.0,0.0,235.555556,90.812519,100.0,380.0,677.777778,201.647535,320.0,920.0,708.888889,160.308345,400.0,860.0,157.777778,38.232557,80.0,200.0,52.666667,5.656854,46.0,61.0,0.269743,0.023575,0.203,0.311,2,1.0,0.0,1.0,1.0,23.096543,0.334871,22.244,23.794,0.086398,0.160776,-0.149714,0.350286,-0.839011,0.418514,-1.450122,-0.075122,3.9e-05,1.2e-05,1.4e-05,5.5e-05
61dc31d1-ea1e-4754-93ad-ed80545baa08,1,33.440943,-88.475065,64.233671,13.193766,40.0,106.0,7.988534,2.393733,1.0,16.0,8232.830046,865.049234,-589.0,9472.0,9,1.0,0.0,1.0,1.0,46.666667,16.329932,20.0,80.0,42.222222,49.391357,0.0,160.0,71.111111,53.425846,20.0,200.0,0.0,0.0,0.0,0.0,82.666667,1.490712,80.0,85.0,0.295496,0.03617,0.195,0.368,5,1.0,0.0,1.0,1.0,24.860409,0.512756,23.857,26.294,0.68362,0.186339,0.350286,0.975286,0.633211,0.25,0.174878,0.924878,3e-06,1.3e-05,-2.3e-05,1.4e-05
4d4d455d-905e-43eb-8acc-06697d98cdf8,1,35.077153,-87.352235,244.718136,26.819237,171.0,307.0,8.870479,3.345011,2.0,13.0,8161.172879,588.041028,3852.0,9196.0,0,0.0,0.0,0.0,0.0,180.0,31.269438,140.0,240.0,122.222222,30.469576,80.0,180.0,513.333333,160.0,300.0,780.0,22.222222,6.285394,20.0,40.0,35.666667,2.748737,32.0,41.0,0.270766,0.019746,0.233,0.316,2,1.0,0.0,1.0,1.0,22.960971,0.417072,22.274,24.085,0.503064,0.202225,0.225286,0.850286,-2.214011,0.137493,-2.450122,-1.950122,1.4e-05,1.6e-05,-5e-06,3.7e-05
4a33b945-4852-4959-b565-9cc70b58c553,1,34.799669,-89.419354,146.814648,19.718612,98.0,200.0,7.093412,2.277649,1.0,13.0,8168.334499,695.079904,3277.0,9393.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.444444,109.859619,0.0,360.0,86.666667,113.137085,0.0,300.0,0.0,0.0,0.0,0.0,27.222222,3.614101,19.0,31.0,0.265362,0.031338,0.195,0.326,3,1.0,0.0,1.0,1.0,24.769213,0.451744,23.909,25.849,-0.302491,0.164336,-0.524714,-0.024714,-1.575122,0.195434,-1.825122,-1.200122,4e-06,1.6e-05,-1.8e-05,3.7e-05
6bd45e4d-75bd-4ea0-983c-16a8f5177c9a,1,34.052541,-86.113501,245.335964,66.60849,140.0,426.0,7.955755,2.50474,1.0,16.0,7729.234138,905.671821,-1577.0,9000.0,0,0.0,0.0,0.0,0.0,62.222222,30.469576,40.0,140.0,173.333333,36.514837,120.0,220.0,242.222222,92.108363,120.0,420.0,55.555556,39.75232,20.0,140.0,68.777778,3.046958,64.0,74.0,0.252064,0.032969,0.191,0.334,0,0.0,0.0,0.0,0.0,22.103764,0.766062,21.107,24.93,1.141953,0.204124,0.600286,1.350286,0.452656,0.545747,-0.325122,1.424878,-4.3e-05,9e-06,-5.1e-05,-2.8e-05
77a7d8fa-6408-4ccb-98c1-ef8cb3d30b4c,1,33.410366,-87.75432,105.540845,21.675153,43.0,173.0,6.260198,1.674992,1.0,13.0,8481.477023,589.898981,2436.0,9366.0,0,0.0,0.0,0.0,0.0,31.111111,13.698698,20.0,60.0,144.444444,42.975732,80.0,200.0,188.888889,81.164366,100.0,360.0,13.333333,9.42809,0.0,20.0,79.111111,1.099944,78.0,81.0,0.260705,0.029463,0.133,0.305,0,0.0,0.0,0.0,0.0,23.810065,0.430143,23.136,24.911,-1.149714,0.204124,-1.399714,-0.649714,-0.450122,0.186339,-0.700122,-0.075122,-2.3e-05,2.1e-05,-5.5e-05,9e-06
18754954-c1e7-4fcf-85a0-6f344894c68c,1,33.564317,-86.007161,207.317952,50.784024,128.0,678.0,7.14122,2.090519,1.0,13.0,7478.474572,1146.105667,-753.0,9584.0,3,1.0,0.0,1.0,1.0,555.555556,78.189387,420.0,660.0,591.111111,65.395284,460.0,680.0,608.888889,64.712088,480.0,700.0,373.333333,45.215533,300.0,440.0,74.666667,1.054093,73.0,76.0,0.270537,0.036058,0.182,0.353,33,1.0,0.0,1.0,1.0,23.545706,0.363368,22.824,25.459,-0.538602,0.253068,-1.024714,-0.149714,0.383211,0.506897,-0.200122,1.299878,3.4e-05,2.9e-05,-1.4e-05,6.9e-05
6a363069-72a4-4336-b2cc-40ceab3729bc,1,34.371255,-85.358693,239.657865,51.760548,174.0,494.0,6.726964,2.26819,1.0,13.0,7923.060083,685.835481,1170.0,9416.0,0,0.0,0.0,0.0,0.0,160.0,92.376043,60.0,380.0,291.111111,107.95518,160.0,520.0,386.666667,116.237305,260.0,600.0,75.555556,58.710421,20.0,220.0,67.555556,4.192881,59.0,73.0,0.270964,0.026148,0.213,0.32,11,1.0,0.0,1.0,1.0,22.566293,0.577018,21.203,24.907,0.766953,0.235702,0.225286,0.975286,1.160989,0.253068,0.799878,1.674878,-1.9e-05,1.3e-05,-3.7e-05,5e-06
366dc917-d27e-4152-9ffe-e1880011e3e2,1,34.771724,-86.056092,290.660654,115.592303,181.0,524.0,6.181621,3.076019,1.0,13.0,8219.732564,949.698306,-241.0,9536.0,16,1.0,0.0,1.0,1.0,535.555556,100.566298,400.0,700.0,713.333333,177.388463,340.0,1060.0,735.555556,121.391114,560.0,980.0,471.111111,125.825668,160.0,600.0,37.444444,5.438773,30.0,48.0,0.303615,0.025704,0.247,0.369,19,1.0,0.0,1.0,1.0,21.878554,0.337517,20.897,22.532,0.836398,0.285314,0.475286,1.350286,0.285989,0.744061,-0.700122,1.549878,4.8e-05,9e-06,3.7e-05,6e-05
1a4d2ffa-b17a-44ec-b692-d06e4f3ffbeb,1,31.282655,-86.326912,97.494938,17.207829,56.0,145.0,8.127581,2.142042,1.0,13.0,7226.808265,855.554245,-1242.0,9257.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666667,9.42809,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.666667,3.018462,48.0,58.0,0.221171,0.031605,0.149,0.296,0,0.0,0.0,0.0,0.0,25.885836,0.279381,25.07,26.965,0.503064,0.078567,0.350286,0.600286,0.341545,0.144338,0.174878,0.549878,-3e-06,7e-06,-1.4e-05,9e-06
84f3e7bb-2468-414e-962b-f850ee422c71,1,32.792736,-85.204936,215.280405,27.041201,122.0,276.0,6.31821,1.907873,1.0,16.0,7909.440162,1179.352644,88.0,9627.0,36,1.0,0.0,1.0,1.0,431.111111,151.470162,160.0,660.0,366.666667,118.509259,160.0,520.0,431.111111,151.470162,160.0,660.0,168.888889,40.123267,100.0,220.0,65.0,4.898979,57.0,73.0,0.249121,0.018074,0.195,0.323,0,0.0,0.0,0.0,0.0,26.044364,0.375343,25.311,27.414,-0.288602,0.109361,-0.399714,-0.149714,0.660989,0.160776,0.299878,0.924878,-2e-06,1.3e-05,-1.8e-05,2.8e-05
daf24e01-2bb1-44f8-911c-81ea3e9ace86,1,30.427831,-88.784659,9.939749,7.631451,1.0,36.0,7.29436,2.964177,1.0,16.0,3650.905288,4606.653702,-3000.0,8576.0,1052,1.0,0.0,1.0,1.0,646.666667,275.680975,280.0,1040.0,1606.666667,182.330591,1360.0,1820.0,1622.222222,187.010266,1360.0,1880.0,1077.777778,210.490315,800.0,1360.0,72.666667,0.816497,71.0,74.0,0.257981,0.047265,0.149,0.325,40,1.0,0.0,1.0,1.0,26.421579,0.782367,25.518,28.563,-0.371936,0.078567,-0.524714,-0.274714,-0.964011,0.190435,-1.325122,-0.700122,-2e-06,1.9e-05,-2.3e-05,3.7e-05
cc6463df-4958-4eb8-9f8a-f4c5e69ff31f,1,31.794721,-89.707908,133.952676,27.548268,62.0,192.0,7.606117,1.647945,1.0,13.0,8343.057507,644.541702,2661.0,9746.0,0,0.0,0.0,0.0,0.0,151.111111,44.333194,100.0,220.0,191.111111,16.629588,160.0,220.0,213.333333,43.204938,140.0,260.0,42.222222,27.397396,0.0,80.0,69.333333,0.816497,68.0,71.0,0.243087,0.021746,0.181,0.312,0,0.0,0.0,0.0,0.0,26.591239,0.429004,25.661,27.302,-0.163602,0.401579,-0.649714,0.600286,1.049878,0.311805,0.549878,1.549878,-7e-06,2.3e-05,-4.6e-05,2.3e-05
