roi_id,type,lat,lon,ELEV_mean_0,ELEV_stddev_0,ELEV_min_0,ELEV_max_0,LCT_mean_0,LCT_stddev_0,LCT_min_0,LCT_max_0,NDVI_mean_0,NDVI_stddev_0,NDVI_min_0,NDVI_max_0,WATERBODY_count_0,WATERBODY_mean_0,WATERBODY_stddev_0,WATERBODY_min_0,WATERBODY_max_0,CAPE0_mean_4,CAPE0_stddev_4,CAPE0_min_4,CAPE0_max_4,CAPE1_mean_4,CAPE1_stddev_4,CAPE1_min_4,CAPE1_max_4,CAPE2_mean_4,CAPE2_stddev_4,CAPE2_min_4,CAPE2_max_4,CAPE3_mean_4,CAPE3_stddev_4,CAPE3_min_4,CAPE3_max_4,HTFL_RH_mean_4,HTFL_RH_stddev_4,HTFL_RH_min_4,HTFL_RH_max_4,SMOIS0_mean_4,SMOIS0_stddev_4,SMOIS0_min_4,SMOIS0_max_4,TCUM_CLOUD_count_4,TCUM_CLOUD_mean_4,TCUM_CLOUD_stddev_4,TCUM_CLOUD_min_4,TCUM_CLOUD_max_4,TSOIL0_mean_4,TSOIL0_stddev_4,TSOIL0_min_4,TSOIL0_max_4,UGRD_mean_4,UGRD_stddev_4,UGRD_min_4,UGRD_max_4,VGRD_mean_4,VGRD_stddev_4,VGRD_min_4,VGRD_max_4,WINDCONV_mean_4,WINDCONV_stddev_4,WINDCONV_min_4,WINDCONV_max_4
ec092954-6a68-4d88-8e12-d3ee458bc91c,1,34.004819,-87.570699,191.787606,29.066208,105.0,282.0,6.164502,1.763234,4.0,13.0,8075.05029,681.459342,1393.0,9241.0,0,0.0,0.0,0.0,0.0,771.111111,49.987653,660.0,840.0,877.777778,39.377878,820.0,960.0,975.555556,22.662309,940.0,1020.0,811.111111,34.138426,760.0,860.0,72.555556,1.06574,71.0,74.0,0.253194,0.022254,0.169,0.314,2,1.0,0.0,1.0,1.0,22.885489,0.361866,22.122,24.02,0.156547,0.3869,-0.287897,0.837103,0.017105,0.288675,-0.482895,0.392105,1e-05,2e-05,-2.3e-05,3.2e-05
a447b292-5db3-4b63-ada0-9186270e423e,1,31.054449,-89.317192,76.586712,18.111091,34.0,123.0,6.74428,2.478199,1.0,13.0,7736.037423,633.429248,2501.0,9786.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.333333,129.614814,760.0,1140.0,728.888889,98.48231,580.0,900.0,20.0,24.944383,0.0,60.0,34.333333,2.94392,31.0,40.0,0.272391,0.015538,0.237,0.305,0,0.0,0.0,0.0,0.0,25.479652,0.240469,24.805,25.954,0.281547,0.16782,-0.037897,0.462103,-0.91345,0.449193,-1.482895,-0.232895,-2.1e-05,7e-06,-3.2e-05,-5e-06
7288d16d-c586-41c4-8b0c-0edd97629cf5,1,34.23408,-85.079007,235.448256,33.634438,177.0,383.0,7.588126,2.000416,1.0,13.0,7685.58366,749.336859,2315.0,9416.0,0,0.0,0.0,0.0,0.0,115.555556,42.975732,60.0,200.0,764.444444,104.892655,600.0,900.0,844.444444,91.786117,680.0,980.0,331.111111,28.45833,280.0,360.0,39.666667,5.05525,31.0,49.0,0.276317,0.029234,0.189,0.339,32,1.0,0.0,1.0,1.0,22.784914,0.377731,21.902,23.918,-0.537897,0.456435,-1.162897,0.337103,0.822661,0.377819,0.392105,1.642105,-4.4e-05,1e-05,-6.5e-05,-2.8e-05
696d2fbd-7d46-4aee-bbe2-7cfd0a698408,1,33.478371,-89.484721,124.316234,15.594126,89.0,180.0,6.115444,1.741935,2.0,12.0,8435.452403,772.808585,1648.0,9992.0,0,0.0,0.0,0.0,0.0,171.111111,121.513094,40.0,380.0,1344.444444,45.973691,1260.0,1440.0,1224.444444,109.859619,1080.0,1400.0,880.0,84.327404,760.0,980.0,30.111111,7.156108,19.0,43.0,0.268565,0.022503,0.194,0.331,9,1.0,0.0,1.0,1.0,24.856739,0.383563,23.846,25.649,0.489881,0.419895,-0.162897,1.087103,-0.455117,0.38988,-0.982895,0.267105,9e-06,1.3e-05,-5e-06,3.2e-05
e6f36586-a877-4452-8df4-df0db6248d7f,1,32.252581,-88.971867,118.256194,21.616415,66.0,198.0,6.276096,1.628496,1.0,13.0,8370.709062,928.976344,1110.0,9978.0,0,0.0,0.0,0.0,0.0,8.888889,13.698698,0.0,40.0,435.555556,121.391114,320.0,640.0,446.666667,33.993463,400.0,500.0,126.666667,24.944383,80.0,160.0,77.444444,3.531166,70.0,82.0,0.251107,0.031624,0.195,0.352,30,1.0,0.0,1.0,1.0,23.903557,0.413547,23.126,24.847,-0.662897,0.204124,-0.912897,-0.287897,-0.677339,0.133218,-0.857895,-0.482895,-1e-06,6e-06,-9e-06,9e-06
5cc10ece-9df4-4e22-a76b-71e8a70fa687,1,33.730068,-86.864012,161.328829,37.776249,91.0,305.0,6.917386,1.96469,4.0,13.0,7689.973561,883.800808,2091.0,9121.0,0,0.0,0.0,0.0,0.0,395.555556,45.973691,320.0,480.0,902.222222,70.202529,780.0,980.0,851.111111,75.490168,720.0,940.0,662.222222,62.142806,560.0,760.0,67.777778,1.314684,66.0,70.0,0.22895,0.031134,0.137,0.312,0,0.0,0.0,0.0,0.0,23.5603,0.278803,22.943,24.312,0.059325,0.114531,-0.037897,0.212103,0.46155,0.119477,0.267105,0.642105,-1.4e-05,1e-05,-3.2e-05,-5e-06
965de76a-6f00-4c89-a693-83e8ba64fa60,1,33.270185,-87.330225,136.157272,35.64496,44.0,213.0,6.360914,1.853136,1.0,13.0,7832.985034,959.096251,1434.0,9739.0,0,0.0,0.0,0.0,0.0,337.777778,42.629614,280.0,420.0,986.666667,29.81424,940.0,1040.0,926.666667,40.0,860.0,1000.0,688.888889,47.245093,620.0,740.0,74.777778,1.030402,73.0,76.0,0.257157,0.031485,0.182,0.328,5,1.0,0.0,1.0,1.0,22.679736,0.456028,21.768,23.964,-0.12123,0.117851,-0.287897,0.087103,-0.094006,0.137493,-0.357895,0.142105,2e-06,5e-06,-5e-06,9e-06
4d4c0d22-9c9e-481d-8b70-c68e945342ef,1,34.642068,-88.40487,142.452193,21.45792,98.0,189.0,6.189089,2.5673,1.0,13.0,8256.68021,772.074194,2547.0,9655.0,8,1.0,0.0,1.0,1.0,113.333333,69.92059,40.0,240.0,800.0,92.855922,680.0,980.0,857.777778,122.726234,740.0,1140.0,397.777778,79.131084,300.0,520.0,18.888889,3.314763,15.0,26.0,0.251072,0.01787,0.208,0.289,15,1.0,0.0,1.0,1.0,24.232761,0.385141,23.238,24.972,-0.065675,0.419895,-0.662897,0.712103,-0.010673,0.617392,-0.857895,0.767105,-1.6e-05,1.6e-05,-4.2e-05,9e-06
2b4fe228-214a-4951-a223-2d6e7882dfc3,1,32.554317,-87.521822,59.865991,19.080763,19.0,125.0,8.459944,2.362132,1.0,12.0,7651.937662,994.799363,2195.0,9431.0,3,1.0,0.0,1.0,1.0,257.777778,137.741931,40.0,480.0,931.111111,59.711239,840.0,1020.0,902.222222,58.45754,820.0,980.0,591.111111,109.183276,380.0,740.0,72.111111,1.791613,69.0,75.0,0.23221,0.033872,0.133,0.319,0,0.0,0.0,0.0,0.0,23.655616,0.509215,22.184,24.802,1.323214,0.259837,0.962103,1.712103,0.475438,0.131762,0.142105,0.642105,-1.8e-05,1.3e-05,-3.7e-05,5e-06
622f0c03-80e1-4b6f-92e0-4b392ac655ae,1,34.036531,-85.823885,210.100338,51.342617,143.0,506.0,7.668637,2.327035,1.0,16.0,7692.147853,1047.421025,-1577.0,9128.0,16,1.0,0.0,1.0,1.0,322.222222,138.385755,100.0,500.0,880.0,277.288458,500.0,1440.0,1140.0,325.098276,660.0,1620.0,382.222222,91.624569,260.0,540.0,52.444444,4.499657,46.0,59.0,0.279399,0.029956,0.206,0.347,43,1.0,0.0,1.0,1.0,22.831181,0.319891,22.0,23.913,0.100992,0.494569,-0.787897,0.712103,-0.330117,0.281229,-0.857895,0.017105,3.4e-05,1.4e-05,5e-06,5.1e-05
